Ordem,Cultural,Genético,SPF,destino,origem
0,0.644,1.2770000000000001,0.751,CMBR,NY54
1,1.8779999999999997,2.6270000000000007,1.976,CHCG,NY54
2,0.107,0.0,0.162,PHLA,NY54
3,0.582,0.9949999999999999,0.646,WASH,NY54
4,0.704,0.071,0.597,PHLA,CMBR
5,0.902,0.902,0.902,CLEV,CHCG
6,1.288,0.6890000000000001,1.1900000000000002,PHLA,CHCG
7,1.191,1.909,1.1010000000000002,STLS,CHCG
8,0.662,0.662,0.671,DNVR,CHCG
9,0.152,0.152,0.277,KSCY,CHCG
10,0.907,1.223,0.8630000000000001,SNFN,CHCG
11,1.046,0.727,1.046,STTL,CHCG
12,0.8220000000000001,0.609,0.8220000000000001,SLKC,CHCG
13,0.295,0.371,0.295,NSVL,CLEV
14,0.29600000000000004,0.135,0.29600000000000004,STLS,CLEV
15,0.085,0.0,0.085,PHLA,CLEV
16,0.9439999999999998,0.9439999999999998,0.9439999999999998,ATLN,RLGH
17,0.077,0.077,0.077,WASH,RLGH
18,0.8109999999999999,0.746,0.8109999999999999,WASH,ATLN
19,0.347,0.347,0.347,NSVL,ATLN
20,0.862,1.168,0.862,STLS,ATLN
21,1.0519999999999998,1.3309999999999997,1.0519999999999998,DLLS,ATLN
22,1.264,1.1860000000000002,1.264,ORLD,ATLN
23,0.542,0.064,0.47800000000000004,WASH,PHLA
24,0.0,0.0,0.0,STLS,NSVL
25,0.356,0.432,0.356,DLLS,NSVL
26,1.005,0.9939999999999999,0.9149999999999998,DLLS,STLS
27,0.16799999999999998,0.188,0.16799999999999998,KSCY,STLS
28,1.016,1.7700000000000005,1.016,LA03,STLS
29,0.454,0.255,0.255,HSTN,NWOR
30,0.844,0.828,0.645,DLLS,NWOR
31,0.564,0.241,0.564,ORLD,NWOR
32,0.23,0.23,0.23,SNAN,HSTN
33,0.9159999999999999,1.01,1.1150000000000002,DLLS,HSTN
34,0.47400000000000003,0.147,0.47400000000000003,ORLD,HSTN
35,0.239,0.482,0.239,PHNX,SNAN
36,0.9050000000000001,1.0260000000000002,0.9050000000000001,DLLS,SNAN
37,0.507,0.757,0.507,DNVR,DLLS
38,0.163,0.202,0.163,KSCY,DLLS
39,1.583,1.515,1.673,SNFN,DLLS
40,0.643,0.321,0.643,LA03,DLLS
41,0.103,0.103,0.22799999999999998,KSCY,DNVR
42,0.0,0.0,0.134,SNFN,DNVR
43,0.53,0.55,0.53,SLKC,DNVR
44,0.38799999999999996,0.22899999999999998,0.38799999999999996,SNFN,KSCY
45,0.7,1.144,0.877,SCRM,SNFN
46,0.6010000000000001,1.046,0.6010000000000001,PTLD,SNFN
47,0.752,0.626,0.752,STTL,SNFN
48,0.371,0.0,0.194,SLKC,SNFN
49,1.1269999999999998,0.718,1.1269999999999998,LA03,SNFN
50,0.44399999999999995,0.0,0.267,SLKC,SCRM
51,0.44499999999999995,0.0,0.44499999999999995,STTL,PTLD
52,0.461,0.061,0.461,LA03,SLKC
53,1.057,1.057,1.057,SNDG,LA03
54,0.9199999999999999,0.7989999999999999,0.9199999999999999,PHNX,LA03
55,0.105,0.105,0.105,PHNX,SNDG
