Cultural,Genético,SPF,destino,origem
1.04,1.834,0.9469999999999998,CMBR,NY54
3.1719999999999997,4.391,3.1689999999999996,CHCG,NY54
0.39999999999999997,0.0,0.299,PHLA,NY54
1.432,2.065,1.127,WASH,NY54
1.0539999999999998,0.26,1.147,PHLA,CMBR
1.9929999999999997,2.8280000000000007,1.9929999999999997,CLEV,CHCG
2.597,1.7890000000000004,2.747,PHLA,CHCG
1.2890000000000001,3.8909999999999996,1.4360000000000002,STLS,CHCG
1.1039999999999999,1.168,0.9939999999999998,DNVR,CHCG
0.525,1.053,0.6349999999999999,KSCY,CHCG
2.338,2.645,2.338,SNFN,CHCG
1.8039999999999998,2.2069999999999994,1.8039999999999998,STTL,CHCG
2.434999999999999,2.446999999999999,2.434999999999999,SLKC,CHCG
1.5550000000000002,2.5560000000000005,1.5550000000000002,NSVL,CLEV
1.5690000000000002,0.666,1.5690000000000002,STLS,CLEV
0.567,0.22799999999999998,0.567,PHLA,CLEV
2.785000000000001,2.986000000000001,2.785000000000001,ATLN,RLGH
0.994,0.7929999999999999,0.994,WASH,RLGH
2.5369999999999995,2.264,2.3899999999999997,WASH,ATLN
1.294,1.4060000000000001,1.31,NSVL,ATLN
2.2779999999999996,3.2509999999999994,2.3579999999999997,STLS,ATLN
4.296000000000001,3.8679999999999994,3.856,DLLS,ATLN
2.032,2.275,2.019,ORLD,ATLN
1.6019999999999999,0.651,1.7599999999999998,WASH,PHLA
0.628,0.9369999999999999,0.548,STLS,NSVL
2.3470000000000004,1.7930000000000001,2.4430000000000005,DLLS,NSVL
0.9879999999999999,1.366,1.1349999999999998,DLLS,STLS
0.8049999999999999,1.042,0.8049999999999999,KSCY,STLS
2.6470000000000002,3.780999999999999,2.6470000000000002,LA03,STLS
0.475,0.553,0.637,HSTN,NWOR
2.6790000000000007,2.334,2.732,DLLS,NWOR
0.7959999999999999,0.293,0.993,ORLD,NWOR
0.532,0.61,0.532,SNAN,HSTN
1.999,2.023,1.959,DLLS,HSTN
0.728,0.502,0.728,ORLD,HSTN
0.8869999999999999,1.9929999999999999,0.9689999999999999,PHNX,SNAN
2.6850000000000005,3.713,2.7670000000000003,DLLS,SNAN
1.6719999999999997,2.2449999999999997,1.7189999999999999,DNVR,DLLS
0.622,0.3,0.697,KSCY,DLLS
3.645,2.6259999999999994,3.645,SNFN,DLLS
3.335,1.36,3.1309999999999993,LA03,DLLS
0.213,0.0,0.398,KSCY,DNVR
0.141,0.11,0.141,SNFN,DNVR
1.294,0.915,1.4160000000000001,SLKC,DNVR
0.72,0.30599999999999994,0.72,SNFN,KSCY
2.4419999999999997,3.0839999999999996,2.2180000000000004,SCRM,SNFN
1.9330000000000003,2.2169999999999996,1.9330000000000003,PTLD,SNFN
1.4220000000000002,0.735,1.4220000000000002,STTL,SNFN
0.168,0.085,0.392,SLKC,SNFN
1.915,1.3119999999999998,1.915,LA03,SNFN
0.642,0.0,0.866,SLKC,SCRM
0.284,0.0,0.284,STTL,PTLD
1.9280000000000002,0.28200000000000003,1.8059999999999998,LA03,SLKC
2.6110000000000007,2.6110000000000007,2.5890000000000004,SNDG,LA03
2.319,1.213,2.259,PHNX,LA03
0.117,0.117,0.389,PHNX,SNDG
