ciclo,origem,destino,Cultural,SPF,Genético
0,NY54,CMBR,0.001,0.001,0.001
0,NY54,CHCG,0.38,0.38,0.38
0,NY54,PHLA,0.001,0.001,0.001
0,NY54,WASH,0.336,0.336,0.336
0,CMBR,PHLA,0.001,0.001,0.001
0,CHCG,CLEV,0.001,0.001,0.001
0,CHCG,PHLA,0.442,0.442,0.442
0,CHCG,STLS,0.821,1.149,0.821
0,CHCG,DNVR,0.001,0.001,0.001
0,CHCG,KSCY,0.001,0.001,0.001
0,CHCG,SNFN,0.001,0.001,0.001
0,CHCG,STTL,0.001,0.001,0.001
0,CHCG,SLKC,0.001,0.329,0.001
0,CLEV,NSVL,0.001,0.001,0.001
0,CLEV,STLS,0.001,0.001,0.001
0,CLEV,PHLA,0.001,0.001,0.001
0,RLGH,ATLN,0.001,0.001,0.001
0,RLGH,WASH,0.001,0.001,0.001
0,ATLN,WASH,0.336,0.336,0.336
0,ATLN,NSVL,0.001,0.001,0.001
0,ATLN,STLS,0.001,0.001,0.001
0,ATLN,DLLS,0.001,0.336,0.001
0,ATLN,ORLD,0.336,0.001,0.336
0,PHLA,WASH,0.001,0.001,0.001
0,NSVL,STLS,0.001,0.001,0.001
0,NSVL,DLLS,0.001,0.001,0.001
0,STLS,DLLS,0.89,0.89,0.89
0,STLS,KSCY,0.001,0.001,0.001
0,STLS,LA03,0.329,0.001,0.329
0,NWOR,HSTN,0.001,0.001,0.001
0,NWOR,DLLS,0.449,0.449,0.449
0,NWOR,ORLD,0.001,0.001,0.001
0,HSTN,SNAN,0.001,0.001,0.001
0,HSTN,DLLS,0.442,0.777,0.442
0,HSTN,ORLD,0.336,0.001,0.336
0,SNAN,PHNX,0.001,0.001,0.001
0,SNAN,DLLS,0.001,0.001,0.001
0,DLLS,DNVR,0.001,0.001,0.001
0,DLLS,KSCY,0.001,0.001,0.001
0,DLLS,SNFN,0.309,0.309,0.309
0,DLLS,LA03,0.001,0.001,0.001
0,DNVR,KSCY,0.001,0.001,0.001
0,DNVR,SNFN,0.001,0.001,0.001
0,DNVR,SLKC,0.001,0.001,0.001
0,KSCY,SNFN,0.001,0.001,0.001
0,SNFN,SCRM,0.309,0.309,0.309
0,SNFN,PTLD,0.001,0.001,0.001
0,SNFN,STTL,0.001,0.001,0.001
0,SNFN,SLKC,0.001,0.001,0.001
0,SNFN,LA03,0.001,0.001,0.001
0,SCRM,SLKC,0.001,0.001,0.001
0,PTLD,STTL,0.001,0.001,0.001
0,SLKC,LA03,0.329,0.001,0.329
0,LA03,SNDG,0.001,0.001,0.001
0,LA03,PHNX,0.001,0.001,0.001
0,SNDG,PHNX,0.001,0.001,0.001
1,NY54,CMBR,0.001,0.001,0.001
1,NY54,CHCG,1.084,1.084,1.084
1,NY54,PHLA,0.001,0.001,0.001
1,NY54,WASH,0.336,0.336,0.336
1,CMBR,PHLA,0.001,0.001,0.001
1,CHCG,CLEV,0.001,0.001,0.001
1,CHCG,PHLA,0.442,0.442,0.442
1,CHCG,STLS,0.821,1.512,0.821
1,CHCG,DNVR,0.342,0.342,0.342
1,CHCG,KSCY,0.001,0.001,0.001
1,CHCG,SNFN,0.364,0.001,0.364
1,CHCG,STTL,0.001,0.001,0.001
1,CHCG,SLKC,0.001,0.329,0.001
1,CLEV,NSVL,0.001,0.357,0.001
1,CLEV,STLS,0.357,0.001,0.357
1,CLEV,PHLA,0.001,0.001,0.001
1,RLGH,ATLN,0.001,0.001,0.001
1,RLGH,WASH,0.001,0.001,0.001
1,ATLN,WASH,0.336,0.336,0.336
1,ATLN,NSVL,0.001,0.357,0.001
1,ATLN,STLS,0.357,0.001,0.357
1,ATLN,DLLS,0.001,0.336,0.001
1,ATLN,ORLD,0.336,0.001,0.336
1,PHLA,WASH,0.001,0.001,0.001
1,NSVL,STLS,0.001,0.001,0.001
1,NSVL,DLLS,0.001,0.001,0.001
1,STLS,DLLS,0.89,0.89,0.89
1,STLS,KSCY,0.001,0.001,0.001
1,STLS,LA03,0.329,0.364,0.329
1,NWOR,HSTN,0.001,0.001,0.001
1,NWOR,DLLS,0.449,0.449,0.449
1,NWOR,ORLD,0.445,0.445,0.445
1,HSTN,SNAN,0.001,0.001,0.001
1,HSTN,DLLS,0.854,1.189,0.854
1,HSTN,ORLD,0.336,0.001,0.336
1,SNAN,PHNX,0.001,0.001,0.001
1,SNAN,DLLS,0.444,0.444,0.444
1,DLLS,DNVR,0.001,0.001,0.001
1,DLLS,KSCY,0.001,0.001,0.001
1,DLLS,SNFN,1.164,1.164,1.164
1,DLLS,LA03,0.001,0.001,0.001
1,DNVR,KSCY,0.001,0.001,0.001
1,DNVR,SNFN,0.001,0.001,0.001
1,DNVR,SLKC,0.001,0.001,0.001
1,KSCY,SNFN,0.001,0.001,0.001
1,SNFN,SCRM,0.752,0.752,0.752
1,SNFN,PTLD,0.001,0.001,0.001
1,SNFN,STTL,0.413,0.413,0.413
1,SNFN,SLKC,0.001,0.001,0.001
1,SNFN,LA03,0.364,0.001,0.364
1,SCRM,SLKC,0.001,0.001,0.001
1,PTLD,STTL,0.001,0.001,0.001
1,SLKC,LA03,0.62,0.292,0.62
1,LA03,SNDG,0.655,0.655,0.655
1,LA03,PHNX,0.001,0.001,0.001
1,SNDG,PHNX,0.293,0.293,0.293
2,NY54,CMBR,0.001,0.001,0.001
2,NY54,CHCG,1.084,1.084,1.084
2,NY54,PHLA,0.001,0.001,0.001
2,NY54,WASH,0.336,0.336,0.336
2,CMBR,PHLA,0.001,0.001,0.001
2,CHCG,CLEV,0.001,0.001,0.001
2,CHCG,PHLA,0.829,0.829,0.829
2,CHCG,STLS,0.821,1.512,0.821
2,CHCG,DNVR,0.7290000000000001,0.7290000000000001,0.7290000000000001
2,CHCG,KSCY,0.001,0.001,0.001
2,CHCG,SNFN,0.364,0.001,0.364
2,CHCG,STTL,0.001,0.001,0.001
2,CHCG,SLKC,0.001,0.329,0.001
2,CLEV,NSVL,0.001,0.357,0.001
2,CLEV,STLS,0.357,0.001,0.357
2,CLEV,PHLA,0.001,0.001,0.001
2,RLGH,ATLN,0.363,0.363,0.363
2,RLGH,WASH,0.001,0.001,0.001
2,ATLN,WASH,0.336,0.336,0.336
2,ATLN,NSVL,0.001,0.357,0.001
2,ATLN,STLS,0.357,0.001,0.357
2,ATLN,DLLS,0.326,1.343,0.326
2,ATLN,ORLD,0.698,0.321,0.698
2,PHLA,WASH,0.001,0.001,0.001
2,NSVL,STLS,0.001,0.001,0.001
2,NSVL,DLLS,0.001,0.001,0.001
2,STLS,DLLS,0.89,0.89,0.89
2,STLS,KSCY,0.001,0.001,0.001
2,STLS,LA03,0.329,0.364,0.329
2,NWOR,HSTN,0.001,0.001,0.001
2,NWOR,DLLS,1.094,1.1360000000000001,1.094
2,NWOR,ORLD,1.127,0.445,1.127
2,HSTN,SNAN,0.001,0.001,0.001
2,HSTN,DLLS,0.854,1.189,0.854
2,HSTN,ORLD,0.336,0.001,0.336
2,SNAN,PHNX,0.363,0.363,0.363
2,SNAN,DLLS,0.444,0.444,0.444
2,DLLS,DNVR,0.001,0.001,0.001
2,DLLS,KSCY,0.001,0.001,0.001
2,DLLS,SNFN,1.484,1.484,1.484
2,DLLS,LA03,0.001,0.001,0.001
2,DNVR,KSCY,0.001,0.001,0.001
2,DNVR,SNFN,0.001,0.001,0.001
2,DNVR,SLKC,0.001,0.001,0.001
2,KSCY,SNFN,0.001,0.001,0.001
2,SNFN,SCRM,1.477,1.477,1.477
2,SNFN,PTLD,0.001,0.001,0.001
2,SNFN,STTL,0.413,0.413,0.413
2,SNFN,SLKC,0.001,0.001,0.001
2,SNFN,LA03,0.769,0.406,0.769
2,SCRM,SLKC,0.001,0.001,0.001
2,PTLD,STTL,0.001,0.001,0.001
2,SLKC,LA03,0.62,0.292,0.62
2,LA03,SNDG,1.06,1.06,1.06
2,LA03,PHNX,0.001,0.001,0.001
2,SNDG,PHNX,0.655,0.655,0.655
3,NY54,CMBR,0.001,0.001,0.001
3,NY54,CHCG,1.084,1.528,1.084
3,NY54,PHLA,0.001,0.001,0.001
3,NY54,WASH,0.702,1.146,0.702
3,CMBR,PHLA,0.001,0.001,0.001
3,CHCG,CLEV,0.001,0.001,0.001
3,CHCG,PHLA,1.273,0.829,1.273
3,CHCG,STLS,0.821,1.892,1.201
3,CHCG,DNVR,0.7290000000000001,0.7290000000000001,0.7290000000000001
3,CHCG,KSCY,0.001,0.001,0.001
3,CHCG,SNFN,0.744,0.445,0.364
3,CHCG,STTL,0.001,0.001,0.001
3,CHCG,SLKC,0.445,0.329,0.445
3,CLEV,NSVL,0.001,0.357,0.001
3,CLEV,STLS,0.357,0.001,0.357
3,CLEV,PHLA,0.001,0.001,0.001
3,RLGH,ATLN,0.7809999999999999,0.7809999999999999,0.7809999999999999
3,RLGH,WASH,0.001,0.001,0.001
3,ATLN,WASH,0.643,0.643,0.643
3,ATLN,NSVL,0.419,0.7749999999999999,0.419
3,ATLN,STLS,0.357,0.308,0.357
3,ATLN,DLLS,0.633,2.113,0.633
3,ATLN,ORLD,0.698,1.091,0.698
3,PHLA,WASH,0.445,0.001,0.445
3,NSVL,STLS,0.001,0.001,0.001
3,NSVL,DLLS,0.001,0.001,0.001
3,STLS,DLLS,0.89,1.27,1.27
3,STLS,KSCY,0.001,0.001,0.001
3,STLS,LA03,0.329,0.671,0.329
3,NWOR,HSTN,0.001,0.001,0.001
3,NWOR,DLLS,1.4200000000000002,1.1360000000000001,1.4200000000000002
3,NWOR,ORLD,1.453,0.445,1.453
3,HSTN,SNAN,0.001,0.001,0.001
3,HSTN,DLLS,1.678,1.569,1.678
3,HSTN,ORLD,0.78,0.001,0.78
3,SNAN,PHNX,0.363,0.363,0.363
3,SNAN,DLLS,0.444,0.444,0.444
3,DLLS,DNVR,0.34400000000000003,0.34400000000000003,0.34400000000000003
3,DLLS,KSCY,0.001,0.001,0.001
3,DLLS,SNFN,2.634,2.254,2.254
3,DLLS,LA03,0.651,0.34400000000000003,0.651
3,DNVR,KSCY,0.001,0.001,0.001
3,DNVR,SNFN,0.001,0.001,0.001
3,DNVR,SLKC,0.001,0.001,0.001
3,KSCY,SNFN,0.001,0.001,0.001
3,SNFN,SCRM,1.477,1.921,1.477
3,SNFN,PTLD,0.771,0.771,0.771
3,SNFN,STTL,0.413,0.413,0.413
3,SNFN,SLKC,0.001,0.001,0.001
3,SNFN,LA03,0.769,0.406,0.769
3,SCRM,SLKC,0.445,0.001,0.445
3,PTLD,STTL,0.001,0.001,0.001
3,SLKC,LA03,0.62,0.292,0.62
3,LA03,SNDG,1.367,1.367,1.367
3,LA03,PHNX,0.001,0.001,0.001
3,SNDG,PHNX,0.655,0.655,0.655
4,NY54,CMBR,0.376,0.376,0.376
4,NY54,CHCG,1.459,1.903,1.459
4,NY54,PHLA,0.411,0.411,0.411
4,NY54,WASH,0.702,1.146,0.702
4,CMBR,PHLA,0.001,0.001,0.001
4,CHCG,CLEV,0.001,0.001,0.001
4,CHCG,PHLA,1.273,0.829,1.273
4,CHCG,STLS,0.821,1.892,1.201
4,CHCG,DNVR,0.7290000000000001,0.7290000000000001,0.7290000000000001
4,CHCG,KSCY,0.001,0.001,0.001
4,CHCG,SNFN,0.744,0.862,0.364
4,CHCG,STTL,0.418,0.001,0.418
4,CHCG,SLKC,0.8200000000000001,0.704,0.8200000000000001
4,CLEV,NSVL,0.001,0.357,0.001
4,CLEV,STLS,0.357,0.001,0.357
4,CLEV,PHLA,0.001,0.001,0.001
4,RLGH,ATLN,0.7809999999999999,0.7809999999999999,0.7809999999999999
4,RLGH,WASH,0.001,0.001,0.001
4,ATLN,WASH,0.643,0.643,0.643
4,ATLN,NSVL,0.419,0.7749999999999999,0.419
4,ATLN,STLS,0.8,0.751,0.8
4,ATLN,DLLS,0.633,2.113,0.633
4,ATLN,ORLD,0.698,1.091,0.698
4,PHLA,WASH,0.445,0.001,0.445
4,NSVL,STLS,0.001,0.001,0.001
4,NSVL,DLLS,0.366,0.366,0.366
4,STLS,DLLS,0.89,1.27,1.27
4,STLS,KSCY,0.8140000000000001,0.8140000000000001,0.8140000000000001
4,STLS,LA03,0.329,0.671,0.329
4,NWOR,HSTN,0.001,0.001,0.001
4,NWOR,DLLS,1.4200000000000002,1.1360000000000001,1.4200000000000002
4,NWOR,ORLD,1.453,0.445,1.453
4,HSTN,SNAN,0.001,0.001,0.001
4,HSTN,DLLS,1.678,1.569,1.678
4,HSTN,ORLD,0.78,0.001,0.78
4,SNAN,PHNX,0.363,0.363,0.363
4,SNAN,DLLS,0.444,0.444,0.444
4,DLLS,DNVR,0.34400000000000003,0.34400000000000003,0.34400000000000003
4,DLLS,KSCY,0.001,0.001,0.001
4,DLLS,SNFN,2.634,2.254,2.254
4,DLLS,LA03,0.651,0.34400000000000003,0.651
4,DNVR,KSCY,0.001,0.001,0.001
4,DNVR,SNFN,0.446,0.446,0.446
4,DNVR,SLKC,0.001,0.001,0.001
4,KSCY,SNFN,0.001,0.001,0.001
4,SNFN,SCRM,1.477,1.921,1.477
4,SNFN,PTLD,1.6280000000000001,2.045,1.6280000000000001
4,SNFN,STTL,0.413,0.413,0.413
